,Data_Value,colx,nIndex
1135,55.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013NC
1136,53.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013NC
1137,29.9,Cigarette Use (Adults)Smoking FrequencySome Days,2013NC
1138,70.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013NC
1139,54.7,Cigarette Use (Adults)Smoking StatusNever,2013NC
1140,25.1,Cigarette Use (Adults)Smoking StatusFormer,2013NC
1141,20.3,Cigarette Use (Adults)Smoking StatusCurrent,2013NC
1142,21.2,Cigarette Use (Adults)Current Smoking,2013ND
1143,54.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013ND
1144,43.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013ND
1145,26.2,Cigarette Use (Adults)Smoking FrequencySome Days,2013ND
1146,73.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013ND
1147,53.7,Cigarette Use (Adults)Smoking StatusNever,2013ND
1148,25.1,Cigarette Use (Adults)Smoking StatusFormer,2013ND
1149,21.2,Cigarette Use (Adults)Smoking StatusCurrent,2013ND
1150,23.4,Cigarette Use (Adults)Current Smoking,2013OH
1151,52.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013OH
1152,53.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013OH
1153,23.7,Cigarette Use (Adults)Smoking FrequencySome Days,2013OH
1154,76.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013OH
1155,51.4,Cigarette Use (Adults)Smoking StatusNever,2013OH
1156,25.3,Cigarette Use (Adults)Smoking StatusFormer,2013OH
1157,23.4,Cigarette Use (Adults)Smoking StatusCurrent,2013OH
1158,23.7,Cigarette Use (Adults)Current Smoking,2013OK
1159,50.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013OK
1160,52.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013OK
1161,26.7,Cigarette Use (Adults)Smoking FrequencySome Days,2013OK
1162,73.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013OK
1163,51.8,Cigarette Use (Adults)Smoking StatusNever,2013OK
1164,24.5,Cigarette Use (Adults)Smoking StatusFormer,2013OK
1165,23.7,Cigarette Use (Adults)Smoking StatusCurrent,2013OK
1166,17.3,Cigarette Use (Adults)Current Smoking,2013OR
1167,61.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013OR
1168,50.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013OR
1169,26.4,Cigarette Use (Adults)Smoking FrequencySome Days,2013OR
1170,73.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013OR
1171,55.4,Cigarette Use (Adults)Smoking StatusNever,2013OR
1172,27.3,Cigarette Use (Adults)Smoking StatusFormer,2013OR
1173,17.3,Cigarette Use (Adults)Smoking StatusCurrent,2013OR
1174,21.0,Cigarette Use (Adults)Current Smoking,2013PA
1175,55.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013PA
1176,53.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013PA
1177,25.2,Cigarette Use (Adults)Smoking FrequencySome Days,2013PA
1178,74.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013PA
1179,26.0,Cigarette Use (Adults)Smoking StatusFormer,2013PA
1180,21.0,Cigarette Use (Adults)Smoking StatusCurrent,2013PA
1181,53.1,Cigarette Use (Adults)Smoking StatusNever,2013PA
1182,10.8,Cigarette Use (Adults)Current Smoking,2013PR
1183,63.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013PR
1184,66.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013PR
1185,34.6,Cigarette Use (Adults)Smoking FrequencySome Days,2013PR
1186,65.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013PR
1187,70.2,Cigarette Use (Adults)Smoking StatusNever,2013PR
1188,19.0,Cigarette Use (Adults)Smoking StatusFormer,2013PR
1189,10.8,Cigarette Use (Adults)Smoking StatusCurrent,2013PR
1190,17.4,Cigarette Use (Adults)Current Smoking,2013RI
1191,62.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013RI
1192,55.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013RI
1193,28.2,Cigarette Use (Adults)Smoking FrequencySome Days,2013RI
1194,71.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013RI
1195,54.0,Cigarette Use (Adults)Smoking StatusNever,2013RI
1196,28.6,Cigarette Use (Adults)Smoking StatusFormer,2013RI
1197,17.4,Cigarette Use (Adults)Smoking StatusCurrent,2013RI
1198,22.0,Cigarette Use (Adults)Current Smoking,2013SC
1199,53.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013SC
1200,53.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013SC
1201,29.8,Cigarette Use (Adults)Smoking FrequencySome Days,2013SC
1202,70.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013SC
1203,25.3,Cigarette Use (Adults)Smoking StatusFormer,2013SC
1204,22.0,Cigarette Use (Adults)Smoking StatusCurrent,2013SC
1205,52.7,Cigarette Use (Adults)Smoking StatusNever,2013SC
1206,19.6,Cigarette Use (Adults)Current Smoking,2013SD
1207,58.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013SD
1208,48.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013SD
1209,68.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013SD
1210,31.2,Cigarette Use (Adults)Smoking FrequencySome Days,2013SD
1211,53.1,Cigarette Use (Adults)Smoking StatusNever,2013SD
1212,19.6,Cigarette Use (Adults)Smoking StatusCurrent,2013SD
1213,27.4,Cigarette Use (Adults)Smoking StatusFormer,2013SD
1214,24.3,Cigarette Use (Adults)Current Smoking,2013TN
1215,49.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013TN
1216,54.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013TN
1217,75.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013TN
1218,24.4,Cigarette Use (Adults)Smoking FrequencySome Days,2013TN
1219,24.3,Cigarette Use (Adults)Smoking StatusCurrent,2013TN
1220,24.1,Cigarette Use (Adults)Smoking StatusFormer,2013TN
1221,51.6,Cigarette Use (Adults)Smoking StatusNever,2013TN
1222,15.9,Cigarette Use (Adults)Current Smoking,2013TX
1223,58.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013TX
1224,55.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013TX
1225,37.9,Cigarette Use (Adults)Smoking FrequencySome Days,2013TX
1226,62.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013TX
1227,62.1,Cigarette Use (Adults)Smoking StatusNever,2013TX
1228,15.9,Cigarette Use (Adults)Smoking StatusCurrent,2013TX
1229,22.0,Cigarette Use (Adults)Smoking StatusFormer,2013TX
1230,10.3,Cigarette Use (Adults)Current Smoking,2013UT
1231,62.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013UT
1232,52.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013UT
1233,68.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013UT
1234,31.2,Cigarette Use (Adults)Smoking FrequencySome Days,2013UT
1235,10.3,Cigarette Use (Adults)Smoking StatusCurrent,2013UT
1236,17.3,Cigarette Use (Adults)Smoking StatusFormer,2013UT
1237,72.4,Cigarette Use (Adults)Smoking StatusNever,2013UT
1238,16.6,Cigarette Use (Adults)Current Smoking,2013VT
1239,64.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013VT
1240,49.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013VT
1241,75.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013VT
1242,24.7,Cigarette Use (Adults)Smoking FrequencySome Days,2013VT
1243,53.5,Cigarette Use (Adults)Smoking StatusNever,2013VT
1244,29.9,Cigarette Use (Adults)Smoking StatusFormer,2013VT
1245,16.6,Cigarette Use (Adults)Smoking StatusCurrent,2013VT
1246,19.0,Cigarette Use (Adults)Current Smoking,2013VA
1247,55.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013VA
1248,53.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013VA
1249,29.5,Cigarette Use (Adults)Smoking FrequencySome Days,2013VA
1250,70.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013VA
1251,57.2,Cigarette Use (Adults)Smoking StatusNever,2013VA
1252,23.8,Cigarette Use (Adults)Smoking StatusFormer,2013VA
1253,19.0,Cigarette Use (Adults)Smoking StatusCurrent,2013VA
1254,16.1,Cigarette Use (Adults)Current Smoking,2013WA
1255,62.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013WA
1256,52.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013WA
1257,29.4,Cigarette Use (Adults)Smoking FrequencySome Days,2013WA
1258,70.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013WA
1259,16.1,Cigarette Use (Adults)Smoking StatusCurrent,2013WA
1260,57.6,Cigarette Use (Adults)Smoking StatusNever,2013WA
1261,26.4,Cigarette Use (Adults)Smoking StatusFormer,2013WA
1262,27.3,Cigarette Use (Adults)Current Smoking,2013WV
1263,47.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013WV
1264,50.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013WV
1265,83.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013WV
1266,16.5,Cigarette Use (Adults)Smoking FrequencySome Days,2013WV
1267,27.3,Cigarette Use (Adults)Smoking StatusCurrent,2013WV
1268,24.3,Cigarette Use (Adults)Smoking StatusFormer,2013WV
1269,48.4,Cigarette Use (Adults)Smoking StatusNever,2013WV
1270,18.7,Cigarette Use (Adults)Current Smoking,2013WI
1271,59.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013WI
1272,59.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013WI
1273,69.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013WI
1274,30.5,Cigarette Use (Adults)Smoking FrequencySome Days,2013WI
1275,54.4,Cigarette Use (Adults)Smoking StatusNever,2013WI
1276,18.7,Cigarette Use (Adults)Smoking StatusCurrent,2013WI
1277,26.9,Cigarette Use (Adults)Smoking StatusFormer,2013WI
1278,20.6,Cigarette Use (Adults)Current Smoking,2013WY
1279,56.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013WY
1280,49.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013WY
1281,25.2,Cigarette Use (Adults)Smoking FrequencySome Days,2013WY
1282,74.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013WY
1283,26.6,Cigarette Use (Adults)Smoking StatusFormer,2013WY
1284,52.8,Cigarette Use (Adults)Smoking StatusNever,2013WY
1285,20.6,Cigarette Use (Adults)Smoking StatusCurrent,2013WY
1286,23.8,Cigarette Use (Adults)Current Smoking,2012AL
1287,49.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012AL
1288,52.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012AL
1289,24.4,Cigarette Use (Adults)Smoking FrequencySome Days,2012AL
1290,75.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012AL
1291,23.1,Cigarette Use (Adults)Smoking StatusFormer,2012AL
1292,23.8,Cigarette Use (Adults)Smoking StatusCurrent,2012AL
1293,53.1,Cigarette Use (Adults)Smoking StatusNever,2012AL
1294,20.5,Cigarette Use (Adults)Current Smoking,2012AK
1295,55.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012AK
1296,56.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012AK
1297,30.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012AK
1298,69.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012AK
1299,25.7,Cigarette Use (Adults)Smoking StatusFormer,2012AK
1300,20.5,Cigarette Use (Adults)Smoking StatusCurrent,2012AK
1301,53.8,Cigarette Use (Adults)Smoking StatusNever,2012AK
1302,17.1,Cigarette Use (Adults)Current Smoking,2012AZ
1303,61.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012AZ
1304,49.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012AZ
1305,35.6,Cigarette Use (Adults)Smoking FrequencySome Days,2012AZ
1306,64.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012AZ
1307,26.9,Cigarette Use (Adults)Smoking StatusFormer,2012AZ
1308,56.0,Cigarette Use (Adults)Smoking StatusNever,2012AZ
1309,17.1,Cigarette Use (Adults)Smoking StatusCurrent,2012AZ
1310,25.0,Cigarette Use (Adults)Current Smoking,2012AR
1311,49.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012AR
1312,52.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012AR
1313,27.0,Cigarette Use (Adults)Smoking FrequencySome Days,2012AR
1314,73.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012AR
1315,50.8,Cigarette Use (Adults)Smoking StatusNever,2012AR
1316,24.1,Cigarette Use (Adults)Smoking StatusFormer,2012AR
1317,25.0,Cigarette Use (Adults)Smoking StatusCurrent,2012AR
1318,12.6,Cigarette Use (Adults)Current Smoking,2012CA
1319,65.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012CA
1320,50.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012CA
1321,37.5,Cigarette Use (Adults)Smoking FrequencySome Days,2012CA
1322,62.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012CA
1323,23.8,Cigarette Use (Adults)Smoking StatusFormer,2012CA
1324,12.6,Cigarette Use (Adults)Smoking StatusCurrent,2012CA
1325,63.6,Cigarette Use (Adults)Smoking StatusNever,2012CA
1326,17.7,Cigarette Use (Adults)Current Smoking,2012CO
1327,59.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012CO
1328,50.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012CO
1329,32.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012CO
1330,67.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012CO
1331,56.0,Cigarette Use (Adults)Smoking StatusNever,2012CO
1332,26.3,Cigarette Use (Adults)Smoking StatusFormer,2012CO
1333,17.7,Cigarette Use (Adults)Smoking StatusCurrent,2012CO
1334,16.0,Cigarette Use (Adults)Current Smoking,2012CT
1335,64.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012CT
1336,58.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012CT
1337,67.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012CT
1338,32.7,Cigarette Use (Adults)Smoking FrequencySome Days,2012CT
1339,55.3,Cigarette Use (Adults)Smoking StatusNever,2012CT
1340,16.0,Cigarette Use (Adults)Smoking StatusCurrent,2012CT
1341,28.7,Cigarette Use (Adults)Smoking StatusFormer,2012CT
1342,19.7,Cigarette Use (Adults)Current Smoking,2012DE
1343,57.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012DE
1344,53.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012DE
1345,74.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012DE
1346,25.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012DE
1347,53.4,Cigarette Use (Adults)Smoking StatusNever,2012DE
1348,26.9,Cigarette Use (Adults)Smoking StatusFormer,2012DE
1349,19.7,Cigarette Use (Adults)Smoking StatusCurrent,2012DE
1350,19.6,Cigarette Use (Adults)Current Smoking,2012DC
1351,51.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012DC
1352,60.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012DC
1353,58.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012DC
1354,41.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012DC
1355,19.6,Cigarette Use (Adults)Smoking StatusCurrent,2012DC
1356,20.9,Cigarette Use (Adults)Smoking StatusFormer,2012DC
1357,59.5,Cigarette Use (Adults)Smoking StatusNever,2012DC
1358,17.7,Cigarette Use (Adults)Current Smoking,2012FL
1359,61.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012FL
1360,59.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012FL
1361,30.9,Cigarette Use (Adults)Smoking FrequencySome Days,2012FL
1362,69.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012FL
1363,54.5,Cigarette Use (Adults)Smoking StatusNever,2012FL
1364,27.8,Cigarette Use (Adults)Smoking StatusFormer,2012FL
1365,17.7,Cigarette Use (Adults)Smoking StatusCurrent,2012FL
1366,20.4,Cigarette Use (Adults)Current Smoking,2012GA
1367,50.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012GA
1368,51.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012GA
1369,66.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012GA
1370,33.5,Cigarette Use (Adults)Smoking FrequencySome Days,2012GA
1371,58.5,Cigarette Use (Adults)Smoking StatusNever,2012GA
1372,20.4,Cigarette Use (Adults)Smoking StatusCurrent,2012GA
1373,21.1,Cigarette Use (Adults)Smoking StatusFormer,2012GA
1374,25.8,Cigarette Use (Adults)Current Smoking,2012GU
1375,34.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012GU
1376,64.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012GU
1377,76.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012GU
1378,23.4,Cigarette Use (Adults)Smoking FrequencySome Days,2012GU
1379,60.7,Cigarette Use (Adults)Smoking StatusNever,2012GU
1380,25.8,Cigarette Use (Adults)Smoking StatusCurrent,2012GU
1381,13.5,Cigarette Use (Adults)Smoking StatusFormer,2012GU
1382,14.6,Cigarette Use (Adults)Current Smoking,2012HI
1383,63.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012HI
1384,51.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012HI
1385,70.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012HI
1386,29.7,Cigarette Use (Adults)Smoking FrequencySome Days,2012HI
1387,59.8,Cigarette Use (Adults)Smoking StatusNever,2012HI
1388,25.6,Cigarette Use (Adults)Smoking StatusFormer,2012HI
1389,14.6,Cigarette Use (Adults)Smoking StatusCurrent,2012HI
1390,16.4,Cigarette Use (Adults)Current Smoking,2012ID
1391,59.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012ID
1392,49.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012ID
1393,75.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012ID
1394,24.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012ID
1395,16.4,Cigarette Use (Adults)Smoking StatusCurrent,2012ID
1396,24.3,Cigarette Use (Adults)Smoking StatusFormer,2012ID
1397,59.3,Cigarette Use (Adults)Smoking StatusNever,2012ID
1398,18.6,Cigarette Use (Adults)Current Smoking,2012IL
1399,56.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012IL
1400,54.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012IL
1401,29.1,Cigarette Use (Adults)Smoking FrequencySome Days,2012IL
1402,70.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012IL
1403,57.0,Cigarette Use (Adults)Smoking StatusNever,2012IL
1404,24.4,Cigarette Use (Adults)Smoking StatusFormer,2012IL
1405,18.6,Cigarette Use (Adults)Smoking StatusCurrent,2012IL
1406,24.0,Cigarette Use (Adults)Current Smoking,2012IN
1407,49.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012IN
1408,51.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012IN
1409,75.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012IN
1410,24.9,Cigarette Use (Adults)Smoking FrequencySome Days,2012IN
1411,52.4,Cigarette Use (Adults)Smoking StatusNever,2012IN
1412,23.7,Cigarette Use (Adults)Smoking StatusFormer,2012IN
1413,24.0,Cigarette Use (Adults)Smoking StatusCurrent,2012IN
1414,18.1,Cigarette Use (Adults)Current Smoking,2012IA
1415,58.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012IA
1416,51.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012IA
1417,28.2,Cigarette Use (Adults)Smoking FrequencySome Days,2012IA
1418,71.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012IA
1419,18.1,Cigarette Use (Adults)Smoking StatusCurrent,2012IA
1420,25.0,Cigarette Use (Adults)Smoking StatusFormer,2012IA
1421,56.9,Cigarette Use (Adults)Smoking StatusNever,2012IA
1422,19.4,Cigarette Use (Adults)Current Smoking,2012KS
1423,55.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012KS
1424,51.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012KS
1425,28.0,Cigarette Use (Adults)Smoking FrequencySome Days,2012KS
1426,72.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012KS
1427,56.9,Cigarette Use (Adults)Smoking StatusNever,2012KS
1428,23.8,Cigarette Use (Adults)Smoking StatusFormer,2012KS
1429,19.4,Cigarette Use (Adults)Smoking StatusCurrent,2012KS
1430,28.3,Cigarette Use (Adults)Current Smoking,2012KY
1431,47.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012KY
1432,49.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012KY
1433,17.9,Cigarette Use (Adults)Smoking FrequencySome Days,2012KY
1434,82.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012KY
1435,46.2,Cigarette Use (Adults)Smoking StatusNever,2012KY
1436,25.5,Cigarette Use (Adults)Smoking StatusFormer,2012KY
1437,28.3,Cigarette Use (Adults)Smoking StatusCurrent,2012KY
1438,24.8,Cigarette Use (Adults)Current Smoking,2012LA
1439,46.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012LA
1440,53.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012LA
1441,25.2,Cigarette Use (Adults)Smoking FrequencySome Days,2012LA
1442,74.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012LA
1443,24.8,Cigarette Use (Adults)Smoking StatusCurrent,2012LA
1444,21.9,Cigarette Use (Adults)Smoking StatusFormer,2012LA
1445,53.4,Cigarette Use (Adults)Smoking StatusNever,2012LA
1446,20.3,Cigarette Use (Adults)Current Smoking,2012ME
1447,60.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012ME
1448,55.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012ME
1449,21.6,Cigarette Use (Adults)Smoking FrequencySome Days,2012ME
1450,78.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012ME
1451,48.6,Cigarette Use (Adults)Smoking StatusNever,2012ME
1452,31.1,Cigarette Use (Adults)Smoking StatusFormer,2012ME
1453,20.3,Cigarette Use (Adults)Smoking StatusCurrent,2012ME
1454,16.2,Cigarette Use (Adults)Current Smoking,2012MD
1455,59.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012MD
1456,51.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012MD
1457,29.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012MD
1458,70.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012MD
1459,16.2,Cigarette Use (Adults)Smoking StatusCurrent,2012MD
1460,23.4,Cigarette Use (Adults)Smoking StatusFormer,2012MD
1461,60.4,Cigarette Use (Adults)Smoking StatusNever,2012MD
1462,16.4,Cigarette Use (Adults)Current Smoking,2012MA
1463,62.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012MA
1464,55.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012MA
1465,26.9,Cigarette Use (Adults)Smoking FrequencySome Days,2012MA
1466,73.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012MA
1467,55.9,Cigarette Use (Adults)Smoking StatusNever,2012MA
1468,27.7,Cigarette Use (Adults)Smoking StatusFormer,2012MA
1469,16.4,Cigarette Use (Adults)Smoking StatusCurrent,2012MA
1470,23.3,Cigarette Use (Adults)Current Smoking,2012MI
1471,52.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012MI
1472,58.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012MI
1473,72.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012MI
1474,27.7,Cigarette Use (Adults)Smoking FrequencySome Days,2012MI
1475,23.3,Cigarette Use (Adults)Smoking StatusCurrent,2012MI
1476,25.8,Cigarette Use (Adults)Smoking StatusFormer,2012MI
1477,50.9,Cigarette Use (Adults)Smoking StatusNever,2012MI
1478,18.8,Cigarette Use (Adults)Current Smoking,2012MN
1479,59.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012MN
1480,49.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012MN
1481,70.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012MN
1482,29.6,Cigarette Use (Adults)Smoking FrequencySome Days,2012MN
1483,54.0,Cigarette Use (Adults)Smoking StatusNever,2012MN
1484,27.2,Cigarette Use (Adults)Smoking StatusFormer,2012MN
1485,18.8,Cigarette Use (Adults)Smoking StatusCurrent,2012MN
1486,24.0,Cigarette Use (Adults)Current Smoking,2012MS
1487,46.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012MS
1488,56.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012MS
1489,74.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012MS
1490,25.7,Cigarette Use (Adults)Smoking FrequencySome Days,2012MS
1491,55.3,Cigarette Use (Adults)Smoking StatusNever,2012MS
1492,20.7,Cigarette Use (Adults)Smoking StatusFormer,2012MS
1493,24.0,Cigarette Use (Adults)Smoking StatusCurrent,2012MS
1494,23.9,Cigarette Use (Adults)Current Smoking,2012MO
1495,50.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012MO
1496,49.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012MO
1497,76.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012MO
1498,23.7,Cigarette Use (Adults)Smoking FrequencySome Days,2012MO
1499,23.9,Cigarette Use (Adults)Smoking StatusCurrent,2012MO
1500,23.9,Cigarette Use (Adults)Smoking StatusFormer,2012MO
1501,52.2,Cigarette Use (Adults)Smoking StatusNever,2012MO
1502,19.7,Cigarette Use (Adults)Current Smoking,2012MT
1503,58.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012MT
